SM_ITEM|SM_DEST|SM_DEST_5ZIP|SM_SRC|SM_SRC_5ZIP|SM_ET|SM_QTY|SM_RANK|SM_P1|SM_COST|SM1_RANK|SM1_SRC|SM1_SRC_5ZIP|SM1_QTY|SM1_COST|P1_TOTALCOST|SM1_TOTALCOST|LOSS
4055RUCUST|4000148448|72927|US8R|76177|VN|0|2|1|0.894|1|USYH|72701|0|1.008|0|0|0
4055RUCUST|4000231742|62025|UT44|63114|VN|0|3|1|0.769|1|USIV|52404|338|0.938|259.922|317.044|-57.122
4055RUCUST|6100545191|14589|USFC|14623|VN|0|2|1|1.019|1|USOW|18020|7407|2.181|7547.733|16154.667|-8606.934
4055RUCUST|6101007298|51503|USMR|68110|VN|0|2|1|0.477|1|USIV|52404|85|0.925|40.545|78.625|-38.08
4055RUPLUS|3000061169|76106|US8R|76177|VN|0|4|1|0.74|1|US1Q|78218|333|0.869|246.42|289.377|-42.957
4055RUPLUS|3000077172|51501|USMR|68110|VN|1057|2|1|0.477|1|USE3|67501|2198|0.981|1048.446|2156.238|-1107.792
4055RUPLUS|3000083193|60803|UT85|60406|VN|0|2|1|0.148|1|USVI|48150|937|0.644|138.676|603.428|-464.752
4055RUPLUS|3000083195|90503|UT2J|90660|FB|0|2|1|0.469|1|UT45|85353|1857|0.748|870.933|1389.036|-518.103
4055RUPLUS|3000083375|53224|US8Z|53110|VN|0|2|1|0.623|1|USQ4|60163|6|0.625|3.738|3.75|-0.012
4055RUPLUS|3000091081|68137|USMR|68110|VN|207|2|1|0.477|1|USXG|80011|207|0.856|98.739|177.192|-78.453
4055RUPLUS|3000144677|68410|USMR|68110|VN|0|3|1|0.727|1|US8S|73131|7641|1.119|5555.007|8550.279|-2995.272
4055RUPLUS|3000145752|66441|USE3|67501|VN|0|2|1|0.927|1|USZS|79118|17|1.306|15.759|22.202|-6.443
4055RUPLUS|3000148590|54311|USFD|54115|VN|0|3|1|0.417|1|US8Z|53110|33|0.508|13.761|16.764|-3.003
4055RUPLUS|3000157098|28160|UT13|28269|VN|0|2|1|0.761|1|USYJ|28105|1|0.777|0.761|0.777|-0.016
4055RUPLUS|4000001013|60803|USQ4|60163|VN|0|2|1|0.577|1|USVI|48150|339|0.644|195.603|218.316|-22.713
4055RUPLUS|4000002692|14028|USFC|14623|VN|29|2|1|0.909|1|UT73|13057|29|1.067|26.361|30.943|-4.582
4055RUPLUS|4000002941|75751|USGA|75227|FB|0|2|1|0.892|1|USIL|75662|9976|1.144|8898.592|11412.544|-2513.952
4055RUPLUS|4000003053|49544|UT76|49512|VN|117|2|1|0.683|1|USHP|49036|584|0.823|398.872|480.632|-81.76
4055RUPLUS|4000003071|92236|USKI|91752|FB|0|3|1|1.046|1|UT45|85353|0|1.121|0|0|0
